iter	RMSE
0	14.01237901
1	13.10908579
2	12.29638618
3	11.66640983
4	11.00331164
5	10.54501089
6	10.05902312
7	9.575820236
8	9.145366345
9	8.736582525
10	8.379558236
11	8.049837615
12	7.776843437
13	7.499476088
14	7.261790306
15	7.084411981
16	6.870743264
17	6.704202059
18	6.554663769
19	6.412126527
20	6.303723837
21	6.172465793
22	6.07762041
23	5.999111507
24	5.908969778
25	5.828606714
26	5.757077854
27	5.698614923
28	5.639084011
29	5.591842721
30	5.560804129
31	5.514797198
32	5.469905832
33	5.439873938
34	5.410673933
35	5.385670961
36	5.352346157
37	5.322183277
38	5.302565782
39	5.281207589
40	5.255712983
41	5.233482626
42	5.223943202
43	5.199702274
44	5.183209399
45	5.159409047
46	5.135928802
47	5.116292372
48	5.107001752
49	5.096658022
50	5.084118438
51	5.071551088
52	5.049968184
53	5.038225458
54	5.021582143
55	5.007412758
56	4.99538992
57	4.979147008
58	4.970686877
59	4.957997512
60	4.943567097
61	4.937756054
62	4.925545709
63	4.913944357
64	4.899690363
65	4.892837197
66	4.882467516
67	4.869911006
68	4.86879732
69	4.853310246
70	4.850827048
71	4.840027705
72	4.825991701
73	4.818132759
74	4.81474846
75	4.803888498
76	4.792387334
77	4.787275295
78	4.782940801
79	4.768073995
80	4.761937477
81	4.743538068
82	4.731792121
83	4.722415894
84	4.714246588
85	4.707465393
86	4.695930484
87	4.677446702
88	4.673037496
89	4.659704346
90	4.64972753
91	4.644398221
92	4.638000887
93	4.630766557
94	4.625684339
95	4.623649928
96	4.614331814
97	4.604344529
98	4.601842257
99	4.5972117
