iter	Passed	Remaining
0	2	283
1	5	254
2	7	245
3	9	224
4	11	218
5	13	211
6	16	219
7	18	212
8	21	215
9	24	219
10	27	222
11	31	229
12	34	229
13	35	220
14	37	214
15	39	207
16	41	203
17	43	198
18	45	193
19	47	188
20	48	183
21	50	179
22	52	176
23	54	172
24	56	169
25	58	167
26	61	165
27	64	164
28	66	162
29	68	160
30	70	157
31	72	154
32	74	151
33	76	147
34	78	145
35	80	142
36	81	139
37	83	136
38	84	132
39	86	129
40	88	127
41	91	126
42	92	122
43	94	119
44	96	117
45	98	115
46	100	113
47	102	110
48	103	107
49	104	104
50	106	102
51	108	99
52	109	96
53	110	94
54	112	91
55	113	89
56	114	86
57	116	84
58	117	81
59	119	79
60	121	77
61	122	75
62	123	72
63	125	70
64	126	68
65	127	65
66	129	63
67	130	61
68	131	58
69	132	56
70	133	54
71	135	52
72	136	50
73	137	48
74	139	46
75	140	44
76	142	42
77	143	40
78	144	38
79	146	36
80	147	34
81	148	32
82	150	30
83	151	28
84	152	26
85	154	25
86	155	23
87	156	21
88	158	19
89	159	17
90	160	15
91	162	14
92	163	12
93	164	10
94	166	8
95	167	6
96	168	5
97	170	3
98	171	1
99	173	0
